Date,Ent-Open,Ent-High,Ent-Low,Ent-Close,Ent-Adj Close,Power-Open,Power-High,Power-Low,Power-Close,Power-Adj Close,Ports-Open,Ports-High,Ports-Low,Ports-Close,Ports-Adj Close
2020-06-17,145,148.449997,143.449997,147.149994,147.149994,36.25,37.299999,35.799999,36.799999,36.799999,341,346.450012,337.549988,341.299988,341.299988
2020-06-18,146.699997,149.449997,146,147.850006,147.850006,37,38.400002,36.700001,37.599998,37.599998,340.350006,345.5,335.149994,343.799988,343.799988
2020-06-19,149.600006,154.399994,148.899994,152.699997,152.699997,37.650002,38.549999,37.599998,38,38,344.399994,354.899994,341.5,348.899994,348.899994
2020-06-22,154.5,156.199997,153.600006,154.649994,154.649994,38.549999,38.599998,35.950001,38.200001,38.200001,350,353.899994,346.700012,349.600006,349.600006
2020-06-23,157,161.800003,155.550003,157.199997,157.199997,38,38.400002,37.200001,37.900002,37.900002,350,357.200012,346.75,355.649994,355.649994
2020-06-24,159.100006,163,153.5,154.800003,154.800003,38.299999,39.099998,37,37.75,37.75,355.350006,360,349.600006,351.850006,351.850006
2020-06-25,153.25,169.199997,153,161.649994,161.649994,37.849998,38.25,36.5,36.75,36.75,349.799988,351.5,342.200012,344,344
2020-06-26,164,166.350006,161.300003,162.149994,162.149994,37.799999,37.900002,36.400002,36.75,36.75,348,349,339.600006,343.200012,343.200012
2020-06-29,161.399994,163.550003,156.75,159.75,159.75,36.950001,37.25,35.950001,36.25,36.25,341.350006,344.049988,339.100006,342.649994,342.649994
2020-06-30,161.399994,164.149994,155.25,156.25,156.25,36.75,36.75,35.799999,36,36,344,349.799988,342.399994,343.899994,343.899994
2020-07-01,157.149994,159,156.050003,157.649994,157.649994,35.799999,36.099998,35.75,35.900002,35.900002,345.899994,347.049988,341.299988,343.799988,343.799988
2020-07-02,159.800003,160.949997,156.149994,158.199997,158.199997,36.099998,36.25,35.650002,35.799999,35.799999,346,349.600006,344.899994,346.799988,346.799988
2020-07-03,160,163.850006,157.399994,160,160,35.900002,36.099998,35.799999,35.900002,35.900002,350.200012,366.799988,348.649994,360.399994,360.399994
2020-07-06,161.949997,165.199997,160.5,164.199997,164.199997,35.900002,36.5,35.799999,35.900002,35.900002,365.100006,366,356.100006,359.450012,359.450012
2020-07-07,164.5,170.649994,163.300003,168.149994,168.149994,35.950001,36.25,35.700001,35.950001,35.950001,361,361,344.25,345.950012,345.950012
2020-07-08,168,169.5,161.399994,163,163,36,36.099998,35.599998,35.700001,35.700001,349,349.649994,339.299988,340.600006,340.600006
2020-07-09,163,165.100006,161.449997,162.75,162.75,35.950001,35.950001,35.5,35.549999,35.549999,341,346.5,340,343.149994,343.149994
2020-07-10,161.5,163.399994,158.5,159.699997,159.699997,35.150002,35.400002,34.700001,34.799999,34.799999,341,342.700012,332.25,334.950012,334.950012
2020-07-13,161.449997,162.449997,154.350006,156.050003,156.050003,34.900002,34.950001,34.400002,34.700001,34.700001,336.25,339.649994,331.5,332.200012,332.200012
2020-07-14,155.899994,156.25,149,149.75,149.75,34.700001,36.150002,34.349998,35.700001,35.700001,332.700012,333.5,319.700012,320.399994,320.399994
2020-07-15,150.100006,153.850006,147,147.75,147.75,35.849998,35.849998,34.549999,34.700001,34.700001,320.549988,324.5,312.899994,315.149994,315.149994
2020-07-16,148.100006,150,145.199997,148.899994,148.899994,34.650002,34.950001,34.549999,34.700001,34.700001,317,317.450012,309.600006,311.200012,311.200012
2020-07-17,149.75,153.899994,149,151.600006,151.600006,34.900002,36.150002,34.599998,35.5,35.5,312,318.899994,310.600006,313,313
2020-07-20,153.149994,161.899994,152.100006,160.699997,160.699997,35.549999,36,35.150002,35.349998,35.349998,316,318.700012,310.350006,317.299988,317.299988
2020-07-21,161.449997,168.100006,159.100006,167.300003,167.300003,35.400002,35.700001,35.099998,35.25,35.25,320.899994,325.350006,313.600006,314.700012,314.700012
2020-07-22,167,172,162,169.399994,169.399994,35.049999,35.5,34.849998,35.049999,35.049999,316.200012,318.649994,309.100006,312,312
2020-07-23,168.350006,170.699997,165.399994,169.949997,169.949997,35.099998,35.400002,35.049999,35.150002,35.150002,313.399994,315.950012,311.600006,313.899994,313.899994
2020-07-24,167.399994,169.75,163.649994,168.75,168.75,35.099998,35.25,34.900002,35,35,313.899994,313.950012,305.350006,309.399994,309.399994
2020-07-27,168.649994,169.050003,163,165.949997,165.949997,35,35.700001,35,35.25,35.25,309,310.700012,298,309.049988,309.049988
2020-07-28,166.300003,174.899994,163.800003,173.550003,173.550003,35.349998,35.700001,35.099998,35.5,35.5,309.899994,320,308.049988,318.600006,318.600006
2020-07-29,174,190.850006,172.050003,179.100006,179.100006,35.599998,36.450001,35.400002,35.650002,35.650002,317.049988,323,312.049988,315.149994,315.149994
2020-07-30,179.199997,181.350006,173.25,175.050003,175.050003,35.700001,35.849998,35.400002,35.5,35.5,317.850006,321.75,310.100006,312.5,312.5
2020-07-31,174,178.649994,172.100006,175.25,175.25,35.950001,36.25,35.099998,35.400002,35.400002,315,318.149994,312.75,315.200012,315.200012
2020-08-03,175.25,178.699997,171.199997,172.25,172.25,35.099998,35.400002,35.099998,35.150002,35.150002,311,319.549988,308.649994,311.350006,311.350006
2020-08-04,174,184,172.199997,182.100006,182.100006,35.200001,36.150002,35.099998,35.950001,35.950001,313,317.75,311.350006,314.950012,314.950012
2020-08-05,183,184.800003,178.5,179.600006,179.600006,36.099998,36.150002,35.150002,35.25,35.25,316.399994,328.799988,313.399994,327.100006,327.100006
2020-08-06,180.100006,188,177.5,185.949997,185.949997,35.400002,35.799999,35.150002,35.200001,35.200001,330.100006,330.899994,321.399994,323.799988,323.799988
2020-08-07,181.050003,195,180.100006,192.899994,192.899994,35.200001,36.900002,35.200001,36.650002,36.650002,323.899994,328.350006,321.549988,326.649994,326.649994
2020-08-10,192.899994,198.300003,192.350006,195.699997,195.699997,36.650002,38.950001,36.650002,37.650002,37.650002,329,333.950012,325.700012,331.299988,331.299988
2020-08-11,196,199.800003,194.399994,195.850006,195.850006,38.25,38.700001,37.549999,37.650002,37.650002,333.5,336.75,330.700012,335,335
2020-08-12,195.800003,200.75,190.199997,197.699997,197.699997,37.5,38.150002,37.25,37.299999,37.299999,336,347.75,331.75,341.200012,341.200012
2020-08-13,198.899994,203.300003,197.75,200.75,200.75,37.349998,37.950001,37.150002,37.650002,37.650002,343.549988,348.950012,341.75,347.649994,347.649994
2020-08-14,202.399994,204.5,191.449997,196.199997,196.199997,37.650002,37.849998,37.049999,37.150002,37.150002,353.75,353.75,343.649994,348.100006,348.100006
2020-08-17,197.399994,201.649994,196.050003,197.800003,197.800003,37.200001,37.549999,36.700001,37.049999,37.049999,350.850006,358,346.799988,357.450012,357.450012
2020-08-18,200,216.800003,199,213.699997,213.699997,37.200001,37.299999,36.75,36.799999,36.799999,356.899994,359.5,354.5,357.450012,357.450012
2020-08-19,214.25,245.399994,214.25,239.550003,239.550003,36.700001,37.799999,36.700001,37.5,37.5,360,366.200012,355.5,356.649994,356.649994
2020-08-20,241.199997,245,230.399994,234,234,37.400002,39.650002,37.099998,38.450001,38.450001,354.950012,357.100006,347.950012,353.600006,353.600006
2020-08-21,237.100006,244.5,231.100006,233.350006,233.350006,38.799999,39.950001,38.400002,39.150002,39.150002,357.899994,359.350006,353,354.350006,354.350006
2020-08-24,236,253.850006,235,248.699997,248.699997,39.450001,39.950001,38.299999,38.400002,38.400002,358.399994,363.299988,347.600006,349,349
2020-08-25,252,322.399994,250,307.549988,307.549988,39.200001,41.599998,39.049999,40.950001,40.950001,351.899994,352,341,346.100006,346.100006
2020-08-26,299,302.799988,278.25,285.549988,285.549988,40.900002,40.900002,39.650002,40.150002,40.150002,346.350006,366.899994,346.350006,354.25,354.25
2020-08-27,284.899994,297.700012,283.700012,286.700012,286.700012,40.5,40.599998,39.150002,39.450001,39.450001,356,357.450012,349.549988,350.549988,350.549988
2020-08-28,289,295.649994,286.5,288.25,288.25,39.450001,39.849998,39.099998,39.25,39.25,355,363,348.5,360.049988,360.049988
2020-08-31,290,297.600006,270.25,279.549988,279.549988,39.5,41.150002,36.700001,37.25,37.25,365,378.350006,352,355.75,355.75
2020-09-01,279.950012,287.049988,271.549988,281.100006,281.100006,39,39.450001,37.299999,38.799999,38.799999,357,365.350006,341.399994,348.799988,348.799988
